2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6090-Enhanced-NR.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6117-Enhanced-NR-2.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6117-Enhanced-NR-2.png
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6575-Enhanced-NR copy.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6145-Enhanced-NR.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6320-Enhanced-NR.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6129-Enhanced-NR.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6087-Enhanced-NR.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7444-Enhanced-NR-2.jpg
2025-05-18 15:19:43,550 | INFO | folder | get_image_files | Line: 51 |  - /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7295-Enhanced-NR.jpg
2025-05-18 15:19:43,639 | INFO | process_folder | process_folder | Line: 23 | ✅ Image files found in the folder: /Users/anirbansaha/Dropbox/Latpanchar 2025 - experiment
2025-05-18 15:19:43,663 | INFO | process_folder | process_folder | Line: 26 | ✅ Copying folder: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment to /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment
2025-05-18 15:19:43,669 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:43,785 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_5946-Enhanced-NR.png to 1300x866
2025-05-18 15:19:43,785 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_5946-Enhanced-NR.png: type object 'openai' has no attribute 'key'
2025-05-18 15:19:43,785 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:43,966 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6087-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:43,967 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6087-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:43,967 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:44,145 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6090-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:44,146 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6090-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:44,146 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:44,485 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6117-Enhanced-NR-2.png to 1300x866
2025-05-18 15:19:44,486 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6117-Enhanced-NR-2.png: type object 'openai' has no attribute 'key'
2025-05-18 15:19:44,486 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:44,674 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6129-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:44,674 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6129-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:44,675 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:44,864 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6320-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:44,865 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6320-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:44,865 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:45,070 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6361-Enhanced-NR.jpg to 1300x983
2025-05-18 15:19:45,071 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6361-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:45,071 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:45,245 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6362-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:45,246 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6362-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:45,246 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:45,408 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6575-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:45,408 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6575-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:45,408 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:45,545 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7058-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:45,545 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7058-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:45,546 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:45,703 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7112-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:45,704 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7112-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:45,704 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:45,849 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7117-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:45,849 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7117-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:45,849 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:45,992 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7134-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:45,993 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7134-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:45,993 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:46,147 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7208-Enhanced-NR-2.jpg to 1300x866
2025-05-18 15:19:46,147 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7208-Enhanced-NR-2.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:46,147 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:46,298 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7212-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:46,298 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7212-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:46,298 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:46,457 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7213-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:46,457 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7213-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:46,458 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:46,616 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7288-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:46,617 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7288-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:46,617 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:46,769 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7295-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:46,769 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7295-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:46,770 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:46,934 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7367-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:46,934 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7367-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:46,935 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:47,109 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7418-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:47,110 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7418-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:47,110 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:47,289 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7422-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:47,290 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7422-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
2025-05-18 15:19:47,290 | INFO | process_folder | process_folder | Line: 45 | Latpanchar
2025-05-18 15:19:47,471 | INFO | image_ | resize_image | Line: 138 | ✅ Resized: /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7433-Enhanced-NR.jpg to 1300x866
2025-05-18 15:19:47,472 | ERROR | process_folder | process_folder | Line: 67 | ❌ Failed to process image /Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7433-Enhanced-NR.jpg: type object 'openai' has no attribute 'key'
